dates;A
29.09.2008;0.0014774955431741
30.09.2008;0.000571058856409647
01.10.2008;0.000644763348564413
02.10.2008;0.000694682387285773
03.10.2008;0.000820572133317362
06.10.2008;0.00169687776095513
07.10.2008;0.00152270558046064
08.10.2008;0.00311881610522719
09.10.2008;0.00322787398897155
10.10.2008;0.00966008211269931
13.10.2008;0.00105230756010505
14.10.2008;0.0029185040932396
15.10.2008;0.00228844422577552
16.10.2008;0.00521445139523059
17.10.2008;0.00293829198452433
20.10.2008;0.00156738091211733
21.10.2008;0.00106273922440316
22.10.2008;0.0019058307882181
23.10.2008;0.00398722273866338
24.10.2008;0.00301596917036616
27.10.2008;0.00359955370292326
28.10.2008;0.00215497973558101
29.10.2008;0.00269800946809097
30.10.2008;0.00176748553242299
31.10.2008;0.00127316493156712
03.11.2008;0.000615782429929843
04.11.2008;0.000763114815592496
05.11.2008;0.000932216856427942
06.11.2008;0.00149816109582082
07.11.2008;0.00151794792808775
10.11.2008;0.00111939188004988
11.11.2008;0.00249627776795385
12.11.2008;0.00148564366640545
13.11.2008;0.0038130039179664
14.11.2008;0.00545941377619407
17.11.2008;0.00590314552365383
18.11.2008;0.00203750327702858
19.11.2008;0.00230141238710489
20.11.2008;0.00432670999735542
21.11.2008;0.00387389789101594
